score<Pub. year>	score<Application year>	score<Earliest priority year>	score<Cited by patents>	score<Cites patents>	score<Simple family size>	score<Extended family size>	score<NPL citations>
2023	2022	2017	0	2	22	22	0
2025	2024	2023	0	1	1	1	5
2020	2020	2013	0	0	18	34	0
2022	2020	2013	0	23	18	34	0
2019	2017	2013	0	19	6	19	6
2020	2019	2019	2	8	1	1	0
2018	2014	2013	0	7	3	3	1
2025	2025	2024	0	0	1	1	0
2024	2022	2022	0	19	1	1	2
2021	2020	2013	0	0	18	34	0
2018	2017	2013	18	0	3	19	1
2017	2015	2014	8	11	2	3	0
2024	2014	2013	0	9	12	12	0
2019	2016	2015	0	0	2	2	74
2019	2019	2013	3	15	3	19	0
2019	2017	2013	10	49	3	19	17
2022	2020	2018	1	22	8	8	17
2016	2014	2013	7	4	3	3	0
2019	2018	2018	25	0	2	2	0
2016	2014	2013	7	6	5	5	0
2021	2020	2016	3	5	5	13	0
2018	2016	2016	0	2	2	2	9
2017	2015	2015	147	1	4	4	0
2024	2021	2021	1	0	5	5	0
2016	2016	2015	8	0	2	19	0
2019	2017	2015	20	11	4	4	7
2022	2020	2020	3	4	2	2	14
2017	2015	2015	33	1	4	4	0
2025	2021	2020	0	10	10	10	3
2021	2018	2018	2	0	9	9	0
2021	2020	2016	18	0	5	13	0
2018	2017	2015	13	2	4	4	0
2024	2016	2015	0	4	7	8	1
2020	2018	2018	4	37	2	2	4
2024	2024	2022	4	250	30	91	36
2016	2016	2014	3	27	14	241	0
2020	2019	2018	0	6	5	5	0
2020	2018	2018	8	13	5	5	0
2023	2022	2019	2	21	12	12	2
2023	2021	2020	12	11	5	5	3
2016	2015	2014	18	4	4	9	0
2024	2023	2019	3	0	12	12	0
2025	2024	2023	0	4	2	2	4
2022	2020	2019	8	7	2	2	4
2017	2015	2014	1	4	4	9	4
2017	2017	2013	1	7	5	5	0
2017	2016	2015	2	1	1	9	2
2017	2015	2015	2	6	2	2	0
2019	2017	2017	17	0	4	4	0
2024	2024	2024	0	6	2	2	2
2017	2017	2013	0	8	5	5	0
2024	2023	2022	5	6	2	4	0
2019	2019	2013	5	2	18	34	0
2017	2015	2014	4	39	14	241	5
2021	2020	2019	25	0	2	2	0
2025	2024	2013	0	0	18	34	0
2023	2021	2018	2	31	5	5	7
2019	2019	2013	4	0	18	34	0
2025	2024	2024	1	12	1	1	0
2019	2017	2013	5	2	18	34	0
2017	2017	2013	5	2	18	34	0
2025	2024	2023	0	0	1	1	0
2024	2022	2022	0	39	4	4	11
2019	2018	2015	3	1	14	14	0
2023	2022	2018	4	0	3	3	0
2024	2022	2022	2	14	2	2	0
2018	2017	2013	2	0	18	34	0
2019	2018	2015	2	26	14	14	6
2017	2017	2013	2	2	18	34	0
2025	2024	2023	0	6	2	4	1
2025	2025	2024	0	1	1	2	2
2025	2025	2024	0	0	1	2	0
2023	2023	2022	2	3	7	7	1
2024	2019	2018	0	9	2	2	5
2019	2018	2017	7	5	8	8	3
2016	2016	2013	2	4	5	5	0
2025	2025	2024	0	6	3	3	0
2021	2017	2016	1	2	10	10	5
2017	2016	2015	3	0	2	2	0
2022	2022	2019	3	7	12	12	0
2025	2024	2023	1	0	2	4	0
2025	2025	2024	0	0	3	3	0
2023	2022	2018	1	14	14	14	7
2019	2018	2016	2	12	12	20	41
2020	2018	2018	2	3	6	6	4
2022	2022	2018	3	1	14	14	0
2019	2017	2013	20	47	16	28	127
2019	2017	2017	1	13	4	4	6
2016	2016	2015	2	5	3	3	0
2017	2016	2015	7	2	3	3	0
2019	2017	2013	3	45	12	28	113
2025	2025	2022	2	283	30	91	37
2022	2020	2020	5	29	2	2	10
2021	2021	2020	6	2	5	5	5
2017	2016	2013	0	4	5	5	0
2023	2022	2017	1	5	22	22	0
2019	2019	2019	3	0	2	2	0
2023	2022	2021	8	11	2	2	1
2018	2017	2013	5	2	2	34	0
2020	2019	2015	1	28	14	14	12
2017	2011	2011	7	40	10	10	23
2021	2021	2020	2	10	12	12	9
2020	2019	2015	2	0	14	14	0
2025	2022	2021	0	11	2	2	3
2018	2016	2015	0	3	3	3	33
2021	2021	2020	0	5	5	5	1
2025	2023	2022	0	0	6	6	0
2025	2023	2022	1	0	6	6	0
2018	2017	2013	1	0	2	34	0
2019	2018	2018	17	5	2	2	0
2023	2023	2022	0	4	2	2	0
2017	2014	2013	5	7	5	5	0
2025	2023	2019	1	107	10	53	65
2018	2017	2016	32	0	2	2	0
2021	2020	2020	6	4	10	10	0
2024	2022	2022	0	3	2	2	0
2025	2025	2022	0	0	1	9	0
2017	2014	2013	9	2	18	34	0
2025	2025	2024	0	5	1	9	0
2024	2020	2018	4	24	3	3	15
2016	2014	2013	11	46	2	2	2
2025	2023	2023	0	5	2	2	0
2021	2019	2015	3	10	7	8	7
2018	2017	2013	3	0	6	34	0
2018	2016	2016	5	2	2	2	8
2021	2021	2020	13	29	12	12	0
2020	2016	2015	0	4	14	14	0
2017	2016	2013	3	40	9	9	0
2017	2017	2013	0	9	9	9	0
2021	2018	2018	3	4	2	2	0
2024	2022	2021	1	0	5	53	1
2020	2018	2018	18	0	2	2	0
2017	2017	2013	2	9	9	9	0
2018	2018	2017	20	9	22	22	4
2018	2017	2013	5	2	6	34	0
2018	2018	2013	1	9	9	9	0
2020	2019	2015	8	0	7	8	0
2017	2016	2013	0	36	9	9	0
2019	2019	2018	17	5	2	2	2
2024	2022	2012	35	4	1	77	0
2018	2018	2013	0	0	9	9	0
2017	2016	2016	1	3	4	4	1
2025	2022	2021	0	4	3	3	4
2017	2017	2013	2	9	9	9	0
2018	2017	2013	0	10	9	9	0
2023	2022	2021	0	4	3	3	1
2018	2016	2015	13	2	7	8	3
2018	2018	2016	8	0	12	20	0
2025	2023	2022	0	0	2	2	0
2024	2021	2020	0	4	2	2	6
2018	2018	2017	13	9	1	1	0
2017	2014	2013	17	8	9	9	0
2021	2019	2018	20	15	5	5	3
2017	2014	2014	14	5	2	2	6
2021	2019	2017	2	13	4	4	6
2016	2016	2012	16	0	4	6	0
2021	2021	2020	0	6	10	10	0
2019	2016	2016	0	11	4	4	5
2025	2025	2024	0	0	2	2	0
2023	2021	2020	3	1	4	4	0
2016	2016	2013	2	39	9	9	0
2019	2016	2016	6	7	4	4	0
2023	2019	2018	2	29	2	2	44
2022	2021	2021	2	8	2	2	0
2019	2017	2011	1	49	10	10	46
2021	2021	2018	4	3	5	5	0
2018	2017	2013	6	0	12	28	0
2024	2023	2018	1	0	5	5	0
2018	2018	2012	1	3	4	6	0
2016	2016	2013	0	0	9	9	0
2022	2020	2017	1	39	4	4	6
2024	2021	2012	19	3	1	77	1
2019	2018	2017	33	0	4	4	0
2021	2020	2018	17	19	3	3	13
2020	2018	2017	5	4	4	4	0
2016	2015	2015	6	2	5	12	0
2021	2020	2018	7	35	9	9	0
2022	2020	2020	2	0	2	2	0
2024	2023	2013	0	26	18	34	0
2018	2014	2014	2	35	3	3	10
2018	2018	2017	3	5	7	7	4
2025	2021	2020	2	26	12	12	16
2019	2018	2017	16	1	3	3	4
2024	2023	2019	2	1	10	53	0
2021	2014	2013	0	10	8	19	1
2025	2023	2020	0	11	8	8	2
2017	2016	2014	2	16	4	5	8
2024	2023	2019	1	2	10	53	0
2021	2018	2018	3	0	6	6	0
2017	2017	2016	9	0	5	5	0
2024	2021	2019	0	14	5	5	10
2018	2017	2013	8	2	2	34	0
2023	2023	2020	4	0	8	8	0
2016	2016	2016	9	0	1	1	16
2022	2021	2017	3	117	22	22	22
2022	2020	2019	3	16	10	10	4
2024	2020	2018	0	43	9	9	6
2022	2022	2019	28	0	10	53	0
2016	2016	2013	0	3	3	3	0
2018	2015	2014	6	31	4	7	5
2022	2022	2021	4	9	5	53	7
2023	2020	2019	16	2	10	53	0
2024	2023	2019	1	21	12	12	0
2021	2018	2017	17	0	3	3	0
2017	2016	2015	8	4	7	8	5
2020	2019	2017	2	0	4	4	0
2021	2020	2019	14	0	10	10	0
2017	2016	2013	0	3	3	3	0
2020	2019	2013	5	55	12	28	124
2018	2017	2013	12	0	2	34	0
2022	2019	2014	1	26	13	13	3
2023	2020	2019	4	84	10	53	65
2016	2014	2013	3	6	3	3	0
2017	2014	2011	6	40	10	10	32
2016	2015	2014	1	14	4	5	8
2023	2020	2016	0	11	4	4	0
2016	2015	2013	5	29	9	9	0
2025	2022	2022	0	9	2	2	2
2018	2016	2016	4	24	5	5	26
2021	2020	2019	53	11	4	53	8
